,company,index,company_size,company_year_founded,company_type,company_industry,company_revenue,company_review,company_interview_difficulty,company_benefits,company_location
3716,The RealReal,3716,1001 to 5000 Employees,2011,Company - Public,Other Retail Stores,Unknown / Non-Applicable,, 2.5,3.7,"San Francisco, CA"
3717,Central Medical Services of Westrock,3717,1 to 50 Employees,null,Private Practice / Firm,,Less than $1 million (USD),, 2.0,,"Brooklyn, NY"
3718,Clutter,3718,501 to 1000 Employees,2013,Company - Private,Self-Storage Services ,Unknown / Non-Applicable,, 2.6,4.2,"Los Angeles, CA"
3719,Quizlet,3719,51 to 200 Employees,2006,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.0,4.9,"San Francisco, CA"
3720,Perfect Price,3720,1 to 50 Employees,2013,Company - Private,Internet,Unknown / Non-Applicable,, 3.0,3.0,"Oakland, CA"
3721,City of Detroit,3721,5001 to 10000 Employees,1701,Government,Municipal Governments,Unknown / Non-Applicable,, 2.7,3.5,"Detroit, MI"
3722,ThoughtWorks,3722,5001 to 10000 Employees,1993,Company - Private,IT Services,$100 to $500 million (USD),, 3.4,4.0,"Chicago, IL"
3723,H&R Block,3723,10000+ Employees,1955,Company - Public,Other Retail Stores,$2 to $5 billion (USD),, 2.1,2.4,"Kansas City, MO"
3724,Culture Amp,3724,201 to 500 Employees,2011,Company - Private,Internet,Unknown / Non-Applicable,, 2.9,4.0,"Melbourne, Australia"
3725,Evidation Health,3725,51 to 200 Employees,2012,Company - Private,Internet,Unknown / Non-Applicable,, 2.7,4.0,"San Mateo, CA"
3726,FM Global,3726,5001 to 10000 Employees,1835,Company - Private,Insurance Carriers,$2 to $5 billion (USD),, 2.8,4.4,"Johnston, RI"
3727,Sailthru,3727,51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,3.7,"New York, NY"
3728,DXFactor,3728,,,,,,,,,
3729,Endurance International Group,3729,1001 to 5000 Employees,1997,Company - Public,Internet,$1 to $2 billion (USD),, 3.0,3.7,"Burlington, MA"
3730,TrendKite,3730,,,,,,,,,
3731,Peritus Hub,3731,,,,,,,,,
3732,ArmadaGlobal,3732,51 to 200 Employees,2005,Company - Private,Insurance Carriers,Unknown / Non-Applicable,, 3.0,2.5,"Hunt Valley, MD"
3733,Brown-Forman,3733,1001 to 5000 Employees,1870,Company - Public,Food & Beverage Manufacturing,$2 to $5 billion (USD),, 2.9,4.4,"Louisville, KY"
3734,Microland,3734,1001 to 5000 Employees,1989,Company - Private,IT Services,Unknown / Non-Applicable,, 2.7,3.0,"Bangalore, India"
3735,Sense360,3735,1 to 50 Employees,2014,Unknown,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.0,5.0,"Culver City, CA"
3736,Rover.com,3736,201 to 500 Employees,2011,Company - Private,Consumer Product Rental,Unknown / Non-Applicable,, 2.7,3.9,"Seattle, WA"
3737,BOLD,3737,201 to 500 Employees,2004,Company - Private,Internet,Unknown / Non-Applicable,, 2.8,4.6,"Guaynabo, PR"
3738,Greycroft Ventures,3738,,,,,,,,,
3739,Vacasa,3739,1001 to 5000 Employees,2009,Company - Private,Real Estate,$100 to $500 million (USD),, 2.4,3.7,"Portland, OR"
3740,Cyient,3740,10000+ Employees,1991,Company - Public,IT Services,$500 million to $1 billion (USD),, 2.8,3.2,"Hyderābād, India"
3741,iProspect,3741,1001 to 5000 Employees,1996,Company - Public,Advertising & Marketing,$10 to $25 million (USD),, 2.8,4.1,"Boston, MA"
3742,SG Analytics,3742,501 to 1000 Employees,2006,Company - Private,Consulting,$25 to $50 million (USD),, 3.0,0.0,"Pune, India"
3743,People.ai,3743,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,4.0,"San Francisco, CA"
3744,Paychex,3744,10000+ Employees,1971,Company - Public,Enterprise Software & Network Solutions,$2 to $5 billion (USD),, 3.0,4.2,"Rochester, NY"
3745,Amazon Advertising,3745,1001 to 5000 Employees,1935,Subsidiary or Business Segment,Advertising & Marketing,$100 to $500 million (USD),, 2.6,4.4,"Chicago, IL"
3746,Noviya Systems,3746,,,,,,, 3.0,5.0,
3747,Riverbed Technology,3747,1001 to 5000 Employees,2002,Company - Private,Computer Hardware & Software,$500 million to $1 billion (USD),, 3.0,4.1,"San Francisco, CA"
3748,NexLP,3748,,,,,,,,,
3749,SCI IT SOLUTIONS PVT LTD,3749,1 to 50 Employees,2000,Company - Private,IT Services,Unknown / Non-Applicable,, 3.0,0.0,"Vienna, VA"
3750,Development Dimensions International,3750,1001 to 5000 Employees,1970,Company - Private,Consulting,$100 to $500 million (USD),, 3.5,3.0,"Bridgeville, PA"
3751,J-POWER,3751,,,,,,,,,
3752,CreditShop,3752,51 to 200 Employees,2015,Company - Private,Lending,Unknown / Non-Applicable,, 2.8,4.5,"Austin, TX"
3753,Benefitfocus,3753,1001 to 5000 Employees,2000,Company - Public,Computer Hardware & Software,$100 to $500 million (USD),, 2.6,3.8,"Daniel Island, SC"
3754,Eliassen Group,3754,1001 to 5000 Employees,1989,Company - Private,Staffing & Outsourcing,$100 to $500 million (USD),, 3.0,3.4,"Reading, MA"
3755,Mather Economics,3755,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 2.0,3.5,"Atlanta, GA"
3756,Transnational software services,3756,,,,,,, 3.0,0.0,
3757,Oliver Wyman,3757,1001 to 5000 Employees,1984,Subsidiary or Business Segment,Consulting,$1 to $2 billion (USD),, 3.5,3.9,"New York, NY"
3758,PointPredictive,3758,1 to 50 Employees,null,Company - Private,Financial Analytics & Research,Less than $1 million (USD),, 3.5,4.0,"San Diego, CA"
3759,TransRe,3759,501 to 1000 Employees,1977,Company - Private,Insurance Carriers,$2 to $5 billion (USD),, 3.0,5.0,"New York, NY"
3760,Aptiva,3760,1 to 50 Employees,null,Company - Private,Consulting,$1 to $5 million (USD),, 2.8,0.0,"North Brunswick, NJ"
3761,WEX,3761,1001 to 5000 Employees,1983,Company - Public,Investment Banking & Asset Management,$1 to $2 billion (USD),, 2.8,3.8,"Portland, ME"
3762,CORPORATE EMPLOYMENT RESOURCES,3762,201 to 500 Employees,null,Company - Private,,$50 to $100 million (USD),,,,"Houston, TX"
3763,Cranium Cafe,3763,,,,,,,,,
3764,Avlino,3764,1 to 50 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Less than $1 million (USD),, 2.3,,"Holmdel, NJ"
3765,Imagination Learning Systems,3765,1 to 50 Employees,null,Company - Private,Computer Hardware & Software,Less than $1 million (USD),, 2.2,0.0,"New Delhi, India"
3766,IDEO,3766,501 to 1000 Employees,1978,Company - Private,Consulting,$100 to $500 million (USD),, 3.1,4.1,"Palo Alto, CA"
3767,Valyant AI,3767,,,,,,,,,
3768,Source Infotech,3768,51 to 200 Employees,null,Company - Private,"Health, Beauty, & Fitness",$5 to $10 million (USD),, 3.0,5.0,"Edison, NJ"
3769,Invictus Infotech,3769,,,,,,,,,
3770,H2M Group,3770,51 to 200 Employees,null,Company - Private,Aerospace & Defense,$1 to $5 million (USD),,,,"Manassas, VA"
3771,Gradient Valley,3771,,,,,,,,,
3772,Decisive Data,3772,51 to 200 Employees,2008,Company - Private,IT Services,$10 to $25 million (USD),, 2.8,3.6,"Redmond, WA"
3773,Figure Eight,3773,51 to 200 Employees,2008,Company - Public,Computer Hardware & Software,$10 to $25 million (USD),, 2.8,4.6,"San Francisco, CA"
3774,University of Oklahoma,3774,5001 to 10000 Employees,1890,College / University,Colleges & Universities,$500 million to $1 billion (USD),, 2.2,3.9,"Norman, OK"
3775,GlaxoSmithKline Consumer Healthcare,3775,10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 3.1,4.2,"Brentford, United Kingdom"
3776,Disney ABC Television,3776,10000+ Employees,1923,Company - Public,Motion Picture Production & Distribution,$10+ billion (USD),, 2.7,4.0,"Burbank, CA"
3777,Safeway,3777,10000+ Employees,1915,Company - Private,Grocery Stores & Supermarkets,$10+ billion (USD),, 2.1,3.1,"Pleasanton, CA"
3778,Audience Partners,3778,51 to 200 Employees,null,Company - Private,Advertising & Marketing,$10 to $25 million (USD),,,,"Plymouth Meeting, PA"
3779,Avaloq,3779,1001 to 5000 Employees,1985,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.9,0.0,"Zürich, Switzerland"
3780,Southern Company,3780,10000+ Employees,1945,Company - Public,Utilities,$10+ billion (USD),, 2.9,4.1,"Atlanta, GA"
3781,SmartBargains,3781,,,,,,, 3.0,,
3782,Options Away,3782,,,,,,,,2.5,
3783,Gameloft,3783,5001 to 10000 Employees,2000,Company - Private,Video Games,$100 to $500 million (USD),, 2.8,3.5,"Paris, France"
3784,Grockit,3784,,,,,,,,4.0,
3785,Comedy Central,3785,51 to 200 Employees,null,Company - Public,,Less than $1 million (USD),,,,
3786,Zocdoc,3786,501 to 1000 Employees,2007,Company - Private,Internet,Unknown / Non-Applicable,, 2.8,4.5,"New York, NY"
3787,Point Predictive,3787,51 to 200 Employees,null,Company - Private,Membership Organizations,$25 to $50 million (USD),, 3.3,4.5,"San Diego, CA"
3788,Afterpay,3788,501 to 1000 Employees,2014,Company - Public,Internet,$5 to $10 million (USD),, 2.6,4.5,"San Francisco, CA"
3789,Anthem Blue Cross and Blue Shield,3789,10000+ Employees,2001,Subsidiary or Business Segment,Insurance Carriers,$2 to $5 billion (USD),, 2.7,3.8,"Indianapolis, IN"
3790,Calero,3790,501 to 1000 Employees,2013,Company - Private,Telecommunications Services,$100 to $500 million (USD),, 2.2,3.0,"Rochester, NY"
3791,Industrial Scientific Corp,3791,501 to 1000 Employees,1985,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,$100 to $500 million (USD),,,4.0,"Pittsburgh, PA"
3792,DS-IQ,3792,51 to 200 Employees,2003,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 3.8,4.2,"Bellevue, WA"
3793,Micro Focus,3793,10000+ Employees,1976,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),, 3.0,3.7,"Newbury, United Kingdom"
3794,TitleMax,3794,5001 to 10000 Employees,1998,Company - Private,Lending,Unknown / Non-Applicable,, 2.4,2.9,"Savannah, GA"
3795,DHI Group,3795,501 to 1000 Employees,2007,Company - Public,Staffing & Outsourcing,$100 to $500 million (USD),, 2.9,3.4,"New York, NY"
3796,Not Quite New - Gently Used Books,3796,1 to 50 Employees,null,Company - Private,Media & Entertainment Retail Stores,Less than $1 million (USD),,,,"Port Jefferson, NY"
3797,Healthcare Services Group,3797,10000+ Employees,1976,Company - Public,Building & Personnel Services,$1 to $2 billion (USD),, 2.0,1.8,"Bensalem, PA"
3798,Enlitic,3798,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 3.1,4.7,"San Francisco, CA"
3799,ThomasArts,3799,51 to 200 Employees,2003,Company - Private,Advertising & Marketing,$25 to $50 million (USD),, 3.0,3.9,"Farmington, UT"
3800,Eskalera,3800,,,,,,,,,
3801,Starkey Hearing Technologies,3801,5001 to 10000 Employees,1967,Company - Private,Health Care Products Manufacturing,$100 to $500 million (USD),, 2.9,3.7,"Eden Prairie, MN"
3802,Payplan,3802,501 to 1000 Employees,1992,Company - Private,Lending,Unknown / Non-Applicable,,,0.0,"Grantham, United Kingdom"
3803,Juvo,3803,51 to 200 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 1.7,3.0,"San Francisco, CA"
3804,Moderna,3804,501 to 1000 Employees,2011,Company - Public,Biotech & Pharmaceuticals,$50 to $100 million (USD),, 2.6,4.4,"Cambridge, MA"
3805,Thermopylae Sciences & Technology,3805,51 to 200 Employees,null,Company - Private,Consulting,$10 to $25 million (USD),, 2.7,4.5,"Arlington, VA"
3806,CURO Financial Technologies,3806,1001 to 5000 Employees,1997,Company - Public,Banks & Credit Unions,$1 to $2 billion (USD),, 2.6,3.7,"Wichita, KS"
3807,Boll & Branch,3807,51 to 200 Employees,2014,Company - Private,Home Furniture & Housewares Stores,$100 to $500 million (USD),, 2.0,,"Summit, NJ"
3808,Xobni,3808,,,,,,,,,
3809,MLB Advanced Media,3809,201 to 500 Employees,1869,Company - Private,Sports & Recreation,Unknown / Non-Applicable,, 2.6,3.9,"New York, NY"
3810,Centers for Disease Control and Prevention,3810,10000+ Employees,1946,Government,Federal Agencies,Less than $1 million (USD),, 2.8,3.9,"Atlanta, GA"
3811,Trova Technologies,3811,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),,,,"Bangalore, India"
3812,GovTech,3812,1001 to 5000 Employees,2016,Government,Federal Agencies,Unknown / Non-Applicable,, 2.8,0.0,"Singapore, Singapore"
3813,Alcoa,3813,10000+ Employees,1888,Company - Public,Metal & Mineral Manufacturing,$10+ billion (USD),, 2.8,3.9,"Pittsburgh, PA"
3814,Q-Cells,3814,1001 to 5000 Employees,2013,Company - Public,Architectural & Engineering Services,$1 to $2 billion (USD),, 2.2,5.0,"Bitterfeld-Wolfen, Germany"
3815,Blue Icy Water,3815,,,,,,,,,
3816,Icahn School of Medicine at Mount Sinai,3816,1001 to 5000 Employees,null,Nonprofit Organization,,Less than $1 million (USD),, 3.1,4.0,"New York, NY"
3817,Bird,3817,501 to 1000 Employees,2017,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 2.7,4.1,"Santa Monica, CA"
3818,ProMetrics,3818,1 to 50 Employees,null,Company - Private,Research & Development,$1 to $5 million (USD),, 3.0,,"King of Prussia, PA"
3819,Leanplum,3819,51 to 200 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 3.0,4.9,"San Francisco, CA"
3820,Switch Automation,3820,1 to 50 Employees,2012,Company - Private,Computer Hardware & Software,$1 to $5 million (USD),,,,"Denver, CO"
3821,Accent Technologies,3821,51 to 200 Employees,1990,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,, 3.5,4.3,"Melbourne, FL"
3822,ShareThis,3822,51 to 200 Employees,2007,Company - Private,Internet,$25 to $50 million (USD),, 3.2,4.4,"Palo Alto, CA"
3823,Emerson,3823,10000+ Employees,1890,Company - Public,Electrical & Electronic Manufacturing,$10+ billion (USD),, 2.8,3.5,"Saint Louis, MO"
3824,Evolent Health,3824,1001 to 5000 Employees,2011,Company - Public,Health Care Services & Hospitals,$25 to $50 million (USD),, 2.8,3.9,"Arlington, VA"
3825,Evernote,3825,201 to 500 Employees,2008,Company - Private,Computer Hardware & Software,$50 to $100 million (USD),, 2.9,4.5,"Redwood City, CA"
3826,atrium healthcare,3826,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,$2 to $5 billion (USD),, 2.7,2.9,"Charlotte, NC"
3827,DOB Systems,3827,1 to 50 Employees,null,Company - Private,Accounting,Less than $1 million (USD),,,,"Houston, TX"
3828,Health IQ,3828,201 to 500 Employees,2013,Company - Private,Insurance Agencies & Brokerages,Unknown / Non-Applicable,, 2.8,4.4,"Mountain View, CA"
3829,Metis,3829,1 to 50 Employees,null,Company - Private,IT Services,Less than $1 million (USD),, 3.0,,"Hangzhou, China"
3830,Turner Broadcasting,3830,10000+ Employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,$10+ billion (USD),, 2.8,4.3,"New York, NY"
3831,CubeSmart,3831,1001 to 5000 Employees,2004,Company - Public,Real Estate,$500 million to $1 billion (USD),, 2.5,3.2,"Malvern, PA"
3832,Michael Waldmeier,3832,10000+ Employees,1922,Company - Private,Insurance Carriers,$10+ billion (USD),, 2.8,4.5,"San Antonio, TX"
3833,Blackfynn,3833,,,,,,, 4.0,,
3834,Yum!,3834,10000+ Employees,1997,Company - Public,Fast-Food & Quick-Service Restaurants,$10+ billion (USD),, 2.8,3.8,"Louisville, KY"
3835,Ecolab,3835,10000+ Employees,1923,Company - Public,Chemical Manufacturing,$10+ billion (USD),, 2.8,3.7,"Saint Paul, MN"
3836,Alamere Software,3836,,,,,,,,,
3837,Take-Two,3837,1001 to 5000 Employees,1993,Company - Public,Video Games,$1 to $2 billion (USD),, 2.9,4.1,"New York, NY"
3838,Genomic Health,3838,501 to 1000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,$100 to $500 million (USD),, 3.0,3.9,"Redwood City, CA"
3839,Ensemble Health Partners,3839,1001 to 5000 Employees,2014,Unknown,Health Care Services & Hospitals,Unknown / Non-Applicable,, 3.1,3.7,"Mason, OH"
3840,Deep Labs,3840,1 to 50 Employees,2015,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,,,2.5,"San Francisco, CA"
3841,Blue Cross Blue Shield of Arizona,3841,1001 to 5000 Employees,1939,Nonprofit Organization,Insurance Carriers,Unknown / Non-Applicable,, 2.8,4.0,"Phoenix, AZ"
3842,Keyence,3842,5001 to 10000 Employees,1974,Company - Public,Industrial Manufacturing,$5 to $10 million (USD),, 3.2,4.4,"Ōsaka, Japan"
3843,Pacific Biosciences,3843,201 to 500 Employees,2000,Company - Public,Biotech & Pharmaceuticals,$50 to $100 million (USD),, 3.0,3.3,"Menlo Park, CA"
3844,3Scan,3844,1 to 50 Employees,null,Company - Private,Biotech & Pharmaceuticals,Unknown / Non-Applicable,, 3.0,5.0,"San Francisco, CA"
3845,Ruha Technologies,3845,,,,,,,,,
3846,MODE Transportation,3846,51 to 200 Employees,1989,Company - Private,Transportation Management,$1 to $2 billion (USD),, 3.0,4.5,"Dallas, TX"
3847,Sling Media,3847,201 to 500 Employees,2004,Subsidiary or Business Segment,Telecommunications Services,Unknown / Non-Applicable,, 3.1,1.3,"San Mateo, CA"
3848,Wi-Tronix,3848,51 to 200 Employees,2004,Company - Private,Rail,$25 to $50 million (USD),, 2.7,4.5,"Bolingbrook, IL"
3849,Ademco,3849,201 to 500 Employees,null,Company - Private,,Less than $1 million (USD),, 3.0,0.0,"Singapore, Singapore"
3850,Cherre,3850,1 to 50 Employees,2016,Company - Private,Real Estate,Unknown / Non-Applicable,, 3.0,,"New York, NY"
3851,R1 RCM,3851,10000+ Employees,2003,Company - Public,Health Care Services & Hospitals,Unknown / Non-Applicable,, 2.6,3.3,"Chicago, IL"
3852,Information Innovators,3852,,,,,,,,,
3853,LEAP,3853,51 to 200 Employees,1999,Company - Private,Advertising & Marketing,$10 to $25 million (USD),, 2.8,3.6,"Louisville, KY"
3854,SDL,3854,1001 to 5000 Employees,1992,Company - Private,Enterprise Software & Network Solutions,$100 to $500 million (USD),, 2.6,4.2,"Maidenhead, United Kingdom"
3855,Information Control Company,3855,501 to 1000 Employees,1979,Company - Private,IT Services,$50 to $100 million (USD),, 2.8,3.5,"Columbus, OH"
3856,Carlos Aguirre,3856,,,,,,,,,
3857,Advanced Machine Learning Applications,3857,,,,,,,,,
3858,Maxim Integrated,3858,5001 to 10000 Employees,1983,Company - Public,Electrical & Electronic Manufacturing,$2 to $5 billion (USD),, 3.1,3.8,"San Jose, CA"
3859,Areté,3859,201 to 500 Employees,null,Company - Private,Research & Development,$50 to $100 million (USD),, 2.5,4.5,"Northridge, CA"
3860,Berkshire Hathaway,3860,1001 to 5000 Employees,null,Other Organization,Real Estate,Less than $1 million (USD),, 2.1,3.1,"Omaha, NE"
3861,Airbus,3861,10000+ Employees,1970,Company - Public,Aerospace & Defense,$10+ billion (USD),, 2.9,4.4,"Toulouse, France"
3862,Hannover RE,3862,1001 to 5000 Employees,null,Company - Public,Insurance Carriers,$10+ billion (USD),, 2.6,5.0,"Hannover, Germany"
3863,Synopsys,3863,10000+ Employees,1986,Company - Public,Computer Hardware & Software,$2 to $5 billion (USD),4.1, 3.1,3.6,"Mountain View, CA"
3864,American Sugar Refining,3864,1001 to 5000 Employees,1998,Company - Private,Food & Beverage Manufacturing,$100 to $500 million (USD),, 2.7,3.3,"West Palm Beach, FL"
3865,Praxair,3865,10000+ Employees,1907,Company - Public,Chemical Manufacturing,$10+ billion (USD),, 2.9,3.5,"Danbury, CT"
3866,Warby Parker,3866,501 to 1000 Employees,null,Company - Private,Other Retail Stores,Unknown / Non-Applicable,, 2.7,3.9,"New York, NY"
3867,Marco Polo,3867,1 to 50 Employees,2012,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,5.0, 3.1,,"Remote, OR"
3868,Macy's Technology,3868,10000+ Employees,1858,Company - Public,"Department, Clothing, & Shoe Stores",$10+ billion (USD),, 2.2,2.9,"New York, NY"
3869,Tribune Publishing,3869,1001 to 5000 Employees,2014,Company - Public,News Outlet,$500 million to $1 billion (USD),, 2.5,3.4,"Chicago, IL"
3870,Darwin Ecosystem,3870,1 to 50 Employees,2007,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),3.0, 3.0,1.0,"Dallas, TX"
3871,Precima,3871,51 to 200 Employees,2008,Company - Private,Advertising & Marketing,Unknown / Non-Applicable,, 3.1,4.0,"Toronto, Canada"
3872,University of Edinburgh,3872,10000+ Employees,null,College / University,Colleges & Universities,$500 million to $1 billion (USD),, 2.7,0.0,"Edinburgh, United Kingdom"
3873,A.Brand,3873,,,,,,,,,
3874,DBDS,3874,51 to 200 Employees,1987,Company - Private,Staffing & Outsourcing,$1 to $5 million (USD),,,3.0,"Manchester, CT"
3875,Florida Power & Light,3875,5001 to 10000 Employees,1925,Subsidiary or Business Segment,Energy,$10+ billion (USD),, 2.6,4.3,"North Palm Beach, FL"
3876,ShopRunner,3876,201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,$25 to $50 million (USD),, 2.5,3.6,"Chicago, IL"
3877,Novozymes,3877,5001 to 10000 Employees,2000,Company - Public,Biotech & Pharmaceuticals,$10+ billion (USD),, 2.9,3.9,"Bagsværd, Denmark"
3878,Tuple Health,3878,1 to 50 Employees,null,Company - Private,,Less than $1 million (USD),, 0.0,,"Washington, DC"
3879,Society Consulting,3879,51 to 200 Employees,2008,Company - Private,Consulting,$10 to $25 million (USD),, 3.0,2.8,"Bellevue, WA"
3880,Volkswagen Group of America,3880,1001 to 5000 Employees,1955,Subsidiary or Business Segment,Transportation Equipment Manufacturing,Unknown / Non-Applicable,3.8, 2.8,3.7,"Herndon, VA"
3881,Keystrykes,3881,,,,,,,,,
3882,arune,3882,,,,,,,,,
3883,Red Berry Innovations,3883,1 to 50 Employees,2018,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,,,5.0,"Papillion, NE"
3884,ChannelEyes,3884,,,,,,5.0,,4.0,
3885,Apple Vacations,3885,501 to 1000 Employees,1969,Company - Private,Travel Agencies,$100 to $500 million (USD),, 2.4,3.1,"Newtown Square, PA"
3886,Redbeacon,3886,51 to 200 Employees,2008,Subsidiary or Business Segment,Consumer Product Rental,Unknown / Non-Applicable,4.8, 2.6,4.3,"Douglasville, GA"
3887,MKS Instruments,3887,1001 to 5000 Employees,1961,Company - Public,Industrial Manufacturing,$1 to $2 billion (USD),2.8, 2.5,3.4,"Andover, MA"
3888,Medallia,3888,,,,,,4.0, 3.2,3.9,
3889,Bio-Rad Laboratories,3889,5001 to 10000 Employees,1952,Company - Public,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.4, 2.8,3.7,"Hercules, CA"
3890,Anomaly,3890,501 to 1000 Employees,2004,Company - Private,Advertising & Marketing,$10 to $25 million (USD),2.9, 2.6,4.5,"New York, NY"
3891,FAA,3891,10000+ Employees,1958,Government,Federal Agencies,Less than $1 million (USD),3.9, 2.5,4.2,"Washington, DC"
3892,Digital Reasoning,3892,51 to 200 Employees,2000,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),4.0, 3.1,4.4,"Franklin, TN"
3893,College Board,3893,1001 to 5000 Employees,1900,Nonprofit Organization,K-12 Education,$500 million to $1 billion (USD),3.7, 2.8,4.4,"New York, NY"
3894,tringapps,3894,201 to 500 Employees,2008,Company - Private,Computer Hardware & Software,$10 to $25 million (USD),3.2, 2.9,1.0,"New York, NY"
3895,Marsh,3895,10000+ Employees,1871,Subsidiary or Business Segment,Insurance Agencies & Brokerages,$1 to $2 billion (USD),3.6, 2.8,4.2,"New York, NY"
3896,EOIR Technologies,3896,,,,,,,,,
3897,TMX Finance Family of Companies,3897,1001 to 5000 Employees,1998,Company - Private,Lending,$100 to $500 million (USD),, 2.4,3.1,"Savannah, GA"
3898,eHealth,3898,1001 to 5000 Employees,1997,Company - Public,Insurance Agencies & Brokerages,$100 to $500 million (USD),3.5, 2.6,3.9,"Santa Clara, CA"
3899,Tata Consultancy Services (North America),3899,10000+ Employees,1968,Subsidiary or Business Segment,IT Services,$10+ billion (USD),3.7, 2.6,3.3,"New York, NY"
3900,Dexis Consulting Group,3900,501 to 1000 Employees,2001,Company - Private,Consulting,$100 to $500 million (USD),3.6, 3.0,3.5,"Washington, DC"
3901,Altair Integrated Services,3901,,,,,,,,,
3902,Universal Technical Institute,3902,1001 to 5000 Employees,1965,Company - Public,Colleges & Universities,$10 to $25 million (USD),3.0, 2.9,2.8,"Phoenix, AZ"
3903,Lightstream - Live Streaming,3903,1 to 50 Employees,2014,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,5.0,,,"Chicago, IL"
3904,Cummins Filtration ,3904,201 to 500 Employees,null,Contract,,Less than $1 million (USD),, 3.5,,"Cookeville, TN"
3905,Darden,3905,10000+ Employees,1968,Company - Public,Casual Restaurants,$5 to $10 billion (USD),4.0, 2.3,3.7,"Orlando, FL"
3906,VNS CHOICE,3906,,,,,,0.0,,,
3907,Société Générale,3907,10000+ Employees,1864,Company - Public,Investment Banking & Asset Management,$10+ billion (USD),3.3, 2.8,3.9,"Paris, France"
3908,Smart Business Advisory and Consulting,3908,Unknown,null,Company - Private,Consulting,Less than $1 million (USD),3.2,,,"Devon, PA"
3909,ConnectiCare,3909,201 to 500 Employees,1981,Subsidiary or Business Segment,Insurance Carriers,$100 to $500 million (USD),3.8, 2.2,4.0,"Farmington, CT"
3910,LumenData,3910,1 to 50 Employees,null,Company - Private,,$1 to $5 million (USD),3.3, 3.0,0.0,"Santa Clara, CA"
3911,IT Trailblazers,3911,51 to 200 Employees,null,Company - Private,Consulting,$25 to $50 million (USD),3.7, 2.0,3.0,"North Brunswick, NJ"
3912,University of Virginia,3912,10000+ Employees,1819,College / University,Colleges & Universities,$1 to $2 billion (USD),4.4, 2.5,3.9,"Charlottesville, VA"
3913,Poly,3913,5001 to 10000 Employees,1961,Company - Public,Telecommunications Manufacturing,Unknown / Non-Applicable,3.0, 2.7,3.8,"Santa Cruz, CA"
3914,Ceribell,3914,1 to 50 Employees,null,Company - Private,Biotech & Pharmaceuticals,Less than $1 million (USD),, 3.0,,"Mountain View, CA"
3915,Euclid Innovations,3915,201 to 500 Employees,2009,Company - Private,IT Services,$10 to $25 million (USD),4.4, 3.2,0.0,"Charlotte, NC"
3916,Komodo Health,3916,201 to 500 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,, 2.7,3.9,"San Francisco, CA"
3917,Guzman & Griffin Technologies (GGTI),3917,1 to 50 Employees,1997,Company - Private,Federal Agencies,Unknown / Non-Applicable,, 2.0,5.0,"Mays Landing, NJ"
3918,Advantest,3918,1001 to 5000 Employees,1954,Company - Public,Electrical & Electronic Manufacturing,$2 to $5 billion (USD),, 2.7,3.7,"Tokyo, Japan"
3919,Kimberly-Clark,3919,10000+ Employees,1872,Company - Public,Consumer Products Manufacturing,$10+ billion (USD),4.1, 2.9,4.0,"Irving, TX"
3920,mode.ai,3920,,,,,,, 2.0,3.6,
3921,International Paper,3921,10000+ Employees,1898,Company - Public,Industrial Manufacturing,$10+ billion (USD),3.7, 2.8,3.9,"Memphis, TN"
3922,Vulcan,3922,501 to 1000 Employees,1986,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),3.6, 2.9,4.5,"Seattle, WA"
