,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Year Founded



Coordinates data entry screens according to the approved annotated Case Report Form (CRF) for paper studies



Communicates with data management, medical, analysis and reporting and study management teams throughout all study start up activities to ensure team needs are understood and met.



Coordinates design, build and testing of clinical databases according to Standard Operating Procedures (SOPs) and guidelines



Coordinates Programming of field derivations, edit checks, consistency checks, validations, procedures and rules and for writing data extraction programs



Coordinates the development of study reporting and visualization environment which includes CRF and non-CRF (loaded) data in addition to redefining collected data to required reporting format.



Performs peer review



Ensures the timeliness and quality of study level documentation for all databases used in data management



Accountable for study database documentation maintenance in the electronic Trial Master File (eTMF)



Works in collaboration with the GST to define all technical elements of the Data Management Plan



Accountable for timely system testing and Quality Control (QC) of specified activities



May assist in maintaining the Clinical Data Management Systems global and program libraries



May be required to undertake programming and testing tasks as needed



Participates in projects to automate, simplify and innovate in order to ensure that the team is industry leading



Mentor and train Database Developers



Qualifications:



Bachelor's degree, preferably in computing or scientific area



3 to 7 years database development experience in the pharmaceutical industry working with clinical trial data



Experience with Medidata's Rave Study Build and Custom Functions



Practical experience with object-oriented programming using .NET technologies, C#, Visual Basic, MS SQL, SAS, R, Python



Excellent written and verbal communication skills, organized and ability to lead tasks from concept to delivery using strong planning and project management skills



Solid understanding of clinical data system design / development / validation and system interoperability.



Thrives in working independently without close supervision



Excellent organizational and analytical skills and high attention to detail



Demonstrates professionalism, diplomacy, mutual respect and the ability to manage/value diversity and cultural differences and promote productivity through encouragement



Experience or knowledge of Rave Safety Gateway, TSDV and programming languages Python, APEX, PL SQL, XML, Java is an advantage



Experience with reporting environments Crystal Reports, Business Objects, Tibco SpotFire, PowerBI, Tableau is desirable



About AstraZeneca Canada:







Our purpose is bold and so is our approach. Becoming a more agile and innovative company means creating a vibrant, dynamic culture where we celebrate entrepreneurial thinking and act quickly to inspire change. We are courageous, taking smart risks and learning from both success and failure. We are curious, creative, and open to new insights and ways of working. Above all, we are passionate about science and driven to always put patients first. Join us at our great place to work; an environment that energizes and empowers each of us to achieve our goal to develop and deliver medicines.







Great People want to Work with us! Find out why:



GTAA Top Employer Award for 6 years: https://reviews.canadastop100.com/top-employer-astrazeneca-canada



Best Workplace Culture Award at the 2018 Canadian HR Awards: https://www.linkedin.com/pulse/thriving-best-workplace-culture-gena-restivo/



Learn more about our culture: https://www.linkedin.com/posts/genarestivo_greatpeople-greatplacetowork-topemployers2020-activity-6608742174811049985-N-8G



Are you interested in working at AZ? Apply today!",-1,Biotech & Pharmaceuticals,Mississauga,Clinical Database Developer/ Certified RAVE Developer,4.1,$10+ billion (USD),Biotech & Pharmaceuticals,10000+ Employees,1913

263,Toronto Board of Trade,"Position Description:







The Economic Blueprint Institute (EBI), the data and research arm of the Toronto Region Board of Trade (the Board), is responsible for data driven insights that fuel the Board’s regional economic zone agenda to make Toronto one of the most globally competitive business regions. The Senior Data Analyst is an integral part of a team dedicated to building up the Board’s data analytics capacity to inform its policy direction, products, programs, and to create member value. Your skills in the latest data analytics techniques, including geospatial analysis, data organization, and critical thinking along with creativity, collaboration, and drive to contribute to EBI’s broader research framework will make you the ideal candidate for the job.







Role Description:







Data Frameworks& Analysis:



Design, develop and create data frameworks to ensure data quality standards and data integrity



Interpret and analyze data using geospatial mapping, analytics and visualization software



Design and develop data products and services that will support the Board’s policy work and member engagement initiatives



Produce engaging data visualizations, presentations, reports, dashboards, etc. to bring data insights to life for internal and external stakeholders



Partnership& Collaboration:



Communicate and liaise with organizations to support EBI’s valued data partnerships



Collaborate with target audiences’ users to understand their data visualization requirements



Process Development& Management:



Work with internal teams and external stakeholders to gather business requirements and document following Agile Practice



Locate and define new process improvement opportunities



Your experience includes:



An undergraduate degree or diploma in Computer Science, Geographic Analysis or Business Analytics; A graduate degree is an asset



At least five years of experience in data analytics, GIS analysis, and research



Interest in and knowledge of applied public policy research, particularly at the municipal and provincial level



Experience working on economic, transportation and planning issues in the Toronto region or other global city-regions



Experience working in a highly productive research environment would be an asset



Experience and proficiency in GIS programs such ArcGIS or QGIS



Experience in data analytics software such as Python or R



Experience in data visualization programs such as Tableau and Power BI



Experience in SQL server and Microsoft Azure and data lake environment is a plus



Experience developing and delivering presentations to senior team members, using PowerPoint or dashboards



Ability to communicate clearly and effectively



Ability to operate in a fast-paced, results-oriented organization



Strong written and verbal communication skills



You’re often described as:



Highly organized and deadline-driven



Detail-oriented and focused on outcomes



A self-starter with the ability to work independently



Collaborative with colleagues from all levels and departments



Agile and open to changing directions, adopting new practices, or learning something new



Self-motivated and a motivator



A strong communicator and socially-savvy



Empathetic and aware of interpersonal dynamics



A strong multitasker with the ability to navigate competing deadlines



An analytical, creative problem solver



About the Toronto Region Board of Trade







At Toronto Region Board of Trade, you work closely with a collaborative, results-driven team of city builders. You will be centre stage on the issues that matter to the region. Working at Toronto Region Board of Trade gives you an opportunity to work with thought leaders, while collaborating with our dynamic, diverse membership.







Our culture is grounded in core values that include:



Accountability– We are accountable to our Members, stakeholders and each other.



Collaboration– We are our strongest when we work together.



Connections – We engage and build communities.



Learn more about the exciting work the Board is doing at bot.com.







We look forward to hearing from interested candidates. Only those selected for an interview will be contacted.







The Board welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.",-1,Membership Organizations,Toronto,"Senior Data Analyst, Economic Blueprint Institute (GIS)",1.6,$10 to $25 million (USD),Business Services,1 to 50 Employees,-1

264,McKinsey & Company,"As a Senior Data Engineer at QuantumBlack in Montreal...







You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally. You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.







Role responsibilities



Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches



Acquire, ingest, and process data from multiple sources and systems into Big Data platforms



Understanding, assessing and mapping the data landscape.



Maintaining our Information Security standards on the engagement.



Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models.



Defining the technology stack to be provisioned by our infrastructure team.



Building modular pipeline to construct features and modelling tables.



Use new and creative techniques to deliver impact for our clients as well as internal R&D projects.



Mentoring and developing junior Data Engineers on engagements.



What you’ll learn



How successful projects on real world problems across a variety of industries are completed through referencing past deliveries of end to end pipelines.



Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations.



Be focused on the wrangling, clean-up and transformation of data by working alongside the Data Science team which focuses on modelling the data.



Using new technologies and problem-solving skills in a multicultural and creative environment.



You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.



Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.



Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.



Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.



Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.



Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.



Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:



Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.



Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.



Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.



Please submit your CV in English







Visit our Careers site to watch our video and read about our interview processes and benefits.",-1,Consulting,Montreal,Senior Data Engineer- QuantumBlack,4.5,Unknown / Non-Applicable,Business Services,10000+ Employees,1926

265,QuantumBlack,"Analytics



Senior Data Engineer- QuantumBlack







Montreal







Apply Now







Qualifications







Meaningful experience with at least two of the following technologies: Python, Scala, SQL, Java



Commercial client-facing project experience is helpful, including working in close-knit teams



Experience in software engineering best practices such as code



reviews, testing frameworks, maintainability and readability



Experience deploying applications into production environments



e.g. code packaging, integration testing, monitoring, release management



The ability to work across structured, semi-structured, and unstructured data, extracting information and identifying linkages across disparate data sets



Meaningful experience in multiple database technologies such as Distributed Processing (Spark, Hadoop, EMR), traditional RDBMS (MS SQL Server, Oracle, MySQL, PostgreSQL), MPP (AWS Redshift, Teradata), NoSQL (MongoDB, DynamoDB, Cassandra, Neo4J, Titan)



A confirmed ability in clearly communicating complex solutions



Deep understanding of Information Security principles to ensure compliant handling and management of client data



Experience and interest in Cloud platforms such as: AWS, Azure, Google Platform or Databricks



Confirmed experience in traditional data warehousing / ETL tools (Informatica, Talend, Pentaho, DataStage)



Extraordinary attention to detail



Flexibility to travel regional or internationally up to 80% depending on client and base location.







Who You'll Work With











You'll join us in Montreal to work closely with our clients and our Data Scientists in order to curate, transform and construct features which feed directly into our modelling approach.







This would be a hybrid client-facing/technical role using state of the art technologies, whilst also being able to communicate complex intractable ideas to non-technical audiences. Collecting clear requirements is a key part of this role and will define the technical strategy the team employs on the study.







Who you are







A core value at QuantumBlack is fusion and at the heart of our multi-disciplinary teams is the belief that the sum of individual parts will always be less than the impact of the entire team. You are a highly collaborative individual who is capable of laying aside your own agenda, listening to and learning from colleagues, challenging thoughtfully and prioritising impact. You search for ways to improve things and work collaboratively with colleagues. You believe in iterative change, experimenting with new approaches, learning and improving to move forward quickly. Trust between colleagues is paramount here – you are an individual who can always be trusted to work in the best interests of all colleagues and to achieve the best outcome for QuantumBlack and our clients. You are naturally enthusiastic and enjoy sharing your passion with others.







What You'll Do











As a Senior Data Engineer at QuantumBlack in Montreal...







You will work in multi-disciplinary environments harnessing data to provide real-world impact for organisations globally. You will influence many of the recommendations our clients need to positively change their businesses and enhance performance.







Role responsibilities



Work with our clients to model their data landscape, obtain data extracts and define secure data exchange approaches



Acquire, ingest, and process data from multiple sources and systems into Big Data platforms



Understanding, assessing and mapping the data landscape.



Maintaining our Information Security standards on the engagement.



Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models.



Defining the technology stack to be provisioned by our infrastructure team.



Building modular pipeline to construct features and modelling tables.



Use new and creative techniques to deliver impact for our clients as well as internal R&D projects.



Mentoring and developing junior Data Engineers on engagements.



What you’ll learn



How successful projects on real world problems across a variety of industries are completed through referencing past deliveries of end to end pipelines.



Build products alongside the Core engineering team and evolve the engineering process to scale with data, handling complex problems and advanced client situations.



Be focused on the wrangling, clean-up and transformation of data by working alongside the Data Science team which focuses on modelling the data.



Using new technologies and problem-solving skills in a multicultural and creative environment.



You will work on the frameworks and libraries that our teams of Data Scientists and Data Engineers use to progress from data to impact. You will guide global companies through data science solutions to transform their businesses and enhance performance across industries including healthcare, automotive, energy and elite sport.



Real-World Impact– No project is ever the same; we work across multiple sectors, providing unique learning and development opportunities internationally.



Fusing Tech & Leadership– We work with the latest technologies and methodologies and offer first class learning programmes at all levels.



Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance performance.



Innovative Work Culture– Creativity, insight and passion come from being balanced. We cultivate a modern work environment through an emphasis on wellness, insightful talks and training sessions.



Striving for Diversity– With colleagues from over 40 nationalities, we recognise the benefits of working with people from all walks of life.



Our projects range from helping pharmaceutical companies bring lifesaving drugs to market quicker to optimising a Formula1 car’s performance. At QuantumBlack you have the best of both worlds; all the benefits of being part of one of the leading management consultancies globally and the autonomy to thrive in a fast growth tech culture:



Healthcare Efficiency– We helped a healthcare provider improve their clinical trial practices by identifying congestion in diagnostic testing as a key indicator of admissions breaches.



Environmental Impact– We designed and built the first data-driven application for a state of the art centre of excellence in urban innovation by collecting real-time data from environmental sensors across London and deploying proprietary analytics to find unexpected patterns in air pollution.



Product Development– We worked with the CEO of an elite automotive organisation to reduce the 18-month car development timeframe by improving processes, designs and team structures.



Please submit your CV in English







Visit our Careers site to watch our video and read about our interview processes and benefits.







Industries



High Tech







Functions



Technology







Apply Now



FOR U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity/Affirmative Action employer.



All qualified applicants will receive consideration for employment without regard to sex, gender



identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran



status, age, or any other characteristic protected by applicable law.







FOR NON-U.S. APPLICANTS: McKinsey & Company is an Equal Opportunity employer. For additional details



regarding our global EEO policy and diversity initiatives, please visit our



McKinsey Careers and



Diversity & Inclusion sites.",-1,Consulting,Montreal,Senior Data Engineer- QuantumBlack,4.4,Unknown / Non-Applicable,Business Services,501 to 1000 Employees,2009

266,Assent Compliance Inc,"Assent Compliance is the global leader in supply chain data management. We combine leading-edge technology with supply chain expertise to help companies collect and manage the data they need to comply with global requirements and make ethical business decisions. As the leader in a new industry, we’re growing fast, and we’re looking for passionate, energetic people to join our team!







We are looking for a Senior Database Developer to implement Assent's overall data strategy in the most efficient and effective way possible. This includes collaborating with the team to prepare APIs, optimize queries, design support tables, develop data pipelines, and be a champion for all things data for your team.







You'll be working on:



Contributing to the database architecture vision and technical strategy.



Providing technical leadership and mentorship to the application development team in all aspects of database design, creating and tuning queries;



Implementing robust, performant data pipelines, APIs, and procedures to enable consistent, reliable data ingestion, management, and analysis across the software platform;



Producing, publishing, and enforcing database development standards;



Collaborating with internal stakeholders to deeply understand current and evolving business needs in order to effectively evaluate, design, and implement suitable data-centric solutions;



Reviewing and approving database designs presented by the development teams for implementation;



Driving continuous improvement: analyze and measure existing system’s design, performance, and implementation issues; work on short term plans, proofs of concepts, actual implementation to maximize reliability, scalability, and performance;



Participating in SQL development reviews (ad hoc scripts, stored procedure, triggers, etc.)



Designing and enhancing Assent Compliance’s data solutions with a focus on data quality, performance, and scalability;



Documenting, communicating, and championing data designs and rationale in order to elevate understanding and adoption across the Engineering and Product organization.



Join us if you:



Have 7+ years of experience working with MS SQL Server, and/or other enterprise RDBMS



Have 3+ years of experience in a lead role for the design of complex data models



Have 5+ years of recent hands-on database development and tuning experience (stored procedures, functions, triggers, and indexes, etc.)



Are experienced with working with developers to identify issues and help them optimize their DB access code



Have a strong understanding of Cloud infrastructure and related technologies



Have a strong ability to interpret user requirements to inform effective design and implementation of data models



Are a true team player, and see collaboration as a means to innovate and accelerate greatness



Have excellent communication skills with a keen ability to convey complex ideas and drive deep understanding among various audiences



Are motivated to learn, open to feedback, and are always striving to self-improve



Have experience working in an Agile environment



Nice to have:



Are experienced in application software development (C#, .Net preferred)



Are experienced with data warehousing



Are experienced with ETL



Are experienced with providing support for BI Solutions (Tableau, Microsoft Power BI, etc.)



What’s in it for you?







At Assent, we are an ambitious, fast-paced business which means there is never a dull moment. We strive to give back to our employees as much as they give to us.







In addition to a competitive salary, a benefits plan that starts the same day you do, and a fantastic office in a central location, you can expect to:



Love what you do as part of a supportive team with a fantastic culture



Advance your career in a position with high growth potential



Choose how you work best in a flexible work environment



Help create positive change by being part of a sustainable work environment with lots of opportunities to help the Ottawa community through our charitable work



At Assent, your contribution has purpose. Our team challenges each other to be better every day; we dig deep to build a culture of innovation and high performance for our people and our clients.







All applicants will need to fulfill the requirements necessary to obtain a background check.







Reasonable Accommodations Statement: To perform this job successfully, an individual must be able to perform the aforementioned duties and responsibilities satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform these essential functions.",-1,IT Services,Ottawa,Senior Database Developer,4.2,$25 to $50 million (USD),Information Technology,201 to 500 Employees,2005

267,League,"The Data Analyst we are looking for will make a big impact on our product and our marketing efforts by helping gain insight into our app and better understand our customers’ behaviour. You will be part of a small, multi-disciplinary data team and will also work closely with stakeholders to support their business and marketing strategies. You will support these stakeholders in several ways, including collecting and manipulating raw and modelled data, analyzing user behaviour, building reports and dashboards, and designing and evaluating A/B tests.



To thrive in this role, you are someone who works well in cross-functional teams and enjoys collaborating. Furthermore, you understand the business impact of your work and enjoy measuring and presenting it. You enjoy leading and working with product management and other stakeholders to find the best solution to the problem at hand, iterate over it and can balance technical complexity with delivering customer value timely.



Our platform and applications run on Google Cloud. Our current pipelines are built with Airflow and Python and use MongoDB and PostgreSQL as the data store and warehouse. You will be writing new ETL jobs and maintaining existing ones as our product continually evolves and we ask increasingly sophisticated questions of our data.



In this role you will:



Work closely with one or more product squads helping them to identify product opportunities and inform or guide product decisions



Collaboratively define KPIs and Outcomes to determine success of product initiatives and features



Deep dive into specific user behaviour questions and anomalies to identify root causes and understand sources



Design and evaluate A/B tests to identify product optimizations and improvements



Work with engineering teams on tracking requirement definitions to ensure quality data collection and measurement is top of mind and properly implemented



Design and apply unified reporting and tracking standards to easily report and track KPIs across business units



Drive data application efficiencies and scalability with self serve and automated reporting where possible



Working within existing BI framework and building data models to support analysis and reporting



About you:



You have strong analytical skills and can evangelize the use of data for sound decision making across functions



You are a strong problem solver and can communicate the challenges and solutions effectively



You have the mindset of designing for future but building for now



You keep an active eye on security and privacy in the data pipelines and stores



You are eager to learn from others and help others grow with you



You have strong attention to detail and proven analytical skills



Must Have Skills:



You have advanced SQL skills and experience writing efficient queries from large datasets



You have experience with data warehousing and ETL fundamentals



You have elementary statistics knowledge for A/B test design and measurement



You have built reports using B.I. tools such as Tableau, Looker, Mode or Periscope Data



You have experience w Google Analytics or other Client Side behavioural tracking best practices and modelling



Nice to Have Skills:



You have experience using Python for statistical analysis



You have worked with 3rd party split testing suites such as Optimizely or Google Optimize



You have experience cleaning and working with JSON data



You have experience with SQL and DB performance optimization



You have worked with SQL features such as JSON parsing/unesting, CTEs and window functions



We believe that diverse teams perform better, and that fostering an inclusive work environment is a key part of growing a successful team. We welcome people of diverse backgrounds, experiences, and perspectives. We are an equal opportunity employer, and we are committed to working with applicants requesting accommodation at any stage of the hiring process.",-1,Enterprise Software & Network Solutions,Toronto,Senior Data Analyst,3.5,Unknown / Non-Applicable,Information Technology,201 to 500 Employees,2014

268,CyberCoders,"Senior Database Developer If you are a Senior Database Developer with experience, please read on! Top Reasons to Work with Us 1. Competitive Salary and Compensation! 2. Company paid Health Benefits! 3. Flexible work arrangements! What You Will Be Doing - Provide help in contributing to the database architecture vision and technical strategy. - You will be responsible for Providing technical leadership and mentorship to the application development team in all aspects of database design, creating and tuning. - You will be Implementing robust, performant data pipelines, APIs, and procedures to enable consistent, reliable data ingestion, management, and analysis across the software platform; - Produce, publish and enforcing database development standards; - Collaborating with internal stakeholders to deeply understand current and evolving business needs in order to effectively evaluate, design, and implement suitable data-centric solutions; -Responsible for reviewing and approving database designs presented by the development teams for implementation; -Driving continuous improvement: analyze and measure existing systems design, performance, and implementation issues; work on short term plans, proofs of concepts, actual implementation to maximize reliability, scalability, and performance; -Participating in SQL development reviews (ad hoc scripts, stored procedure, triggers, etc.) - Designing and enhancing data solutions with a focus on data quality, performance, and scalability; What You Need for this Position - MS SQL Server - RDBMS - Saas - Database Development - Data Models - Data Warehousing - ETL - BI - C# - .Net So, if you are a Senior Database Developer with experience, please apply today! - Applicants must be authorized to work in the U.S.



CyberCoders, Inc is proud to be an Equal Opportunity Employer







All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.







Your Right to Work In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",-1,Staffing & Outsourcing,Toronto,Senior Database Developer,4.2,$100 to $500 million (USD),Business Services,201 to 500 Employees,1999

269,Chinook Therapeutics,"Company:







Chinook Therapeutics is a clinical-stage biotechnology company developing precision medicines for patients with kidney diseases. We apply our proprietary research platform to discover and develop therapies with novel mechanisms of action in key kidney disease pathways. Our development focus is on rare, serious disorders with clear unmet medical needs and well-defined clinical development opportunities. Our lead program, atrasentan, is a potent and selective, small molecule inhibitor of the endothelin A receptor that is planned to move into a phase 3 registrational trial for IgA nephropathy and a phase 2 basket trial for glomerular diseases, in 2021. We are advancing BION-1301, an anti-APRIL monoclonal antibody, in an ongoing phase 1b trial for IgA nephropathy, and CHK-336, an oral small molecule LDHA inhibitor for primary hyperoxaluria, towards trial initiation in 2021. Our pipeline also includes several additional preclinical programs at the validation and lead optimization stages, and we continue to actively evaluate business development opportunities around early and late-stage clinical assets in kidney disease.







Chinook completed the third quarter of 2020 with over $290 million in operating capital and trades on Nasdaq under the ticker symbol, “KDNY.” The company has locations in Vancouver, BC, Seattle, WA and Berkeley, CA.







Position:







Chinook Therapeutics is seeking a high-performing Sr. Scientist, Translational Medicine to guide biomarker discovery and validation efforts in the Renal Discovery and Translational Medicine group. Reporting to the Director of Translational Medicine, the Sr. Scientist, Translational Medicine will help develop and lead execution of the biomarker strategy to support BION-1301 and other programs ranging from late stage research to Phase 3 clinical studies. The successful candidate will play a key role in developing clinically testable hypotheses and determining approaches to identify predictive and prognostics biomarkers that inform dose selection and patient enrichment/stratification, and interrogate mechanisms of drug action, response and resistance. This will be a visible role working in a matrixed environment across disciplines, including discovery research and clinical development teams, to advance the pipeline of precision medicines for kidney diseases by providing scientific and technical leadership. Our laboratories are based in Vancouver, Canada but the successful candidate could be located in the United States or Canada.



Responsibilities include:



Lead efforts in clinical assay development: select technologies and design fit-for-purpose assays, oversee the development, qualification and validation of bioanalytical and immune profiling assays, and support tech transfer to CROs



Vendor management: transfer in-house methods, review assay validation plans and reports, lead technical discussions and drive actionable troubleshooting efforts, track vendor milestones aligned with study timelines



Plan and oversee large-scale testing of clinical specimens with cross functional support



Analyze, interpret, and present data summaries to characterize PK/PD, providing technical and strategic recommendations in context with clinical study goals and other translational/clinical data



Represent Translational Medicine function in study management and clinical development cross-functional teams, and as subject matter expert lead value-driven and timely scientific decisions



Support of budget planning and management



Mentor and supervise junior staff, contribute to the development and maintenance of a positive team-focused company culture







Education, Experience, and Skills:



PhD in Immunology, Renal Biology, or related field with 6+ years of relevant post-graduate experience including experience in industry implementing translational research efforts in the clinical setting



Expertise in the design and execution of biomarker assays utilizing a wide range of techniques to support mechanistic studies to characterize immune phenotype and function



Knowledge in bioanalytical assay (BA) development/validation and an understanding of current regulatory standards for BA assays



Familiarity with clinical development documents including clinical study protocols, sample collection manuals, informed consents, and regulatory filings



Excellent interpersonal, problem-solving skills, applying scientific methods to resolve potential issues



Ability to work in a fast-paced environment across multiple projects, and adapt to changing priorities



Detail-oriented and able to prioritize workload with limited supervision



Excellent verbal and written communication







Chinook is an Equal Opportunity Employer and we prohibit discrimination or harassment of any kind. We are committed to fostering an environment where ALL people are welcome and supported. We respect and value different experiences and viewpoints. We act respectfully toward one another and embrace diversity of people and ideas. Having a diverse workforce made up of team members who bring a wide variety of skills, abilities, experiences, and perspectives is essential to our success. Creativity and innovation flourish in an environment of openness, inclusion, and mutual respect.",-1,-1,Vancouver,"Senior Scientist, Translational Medicine",-1,-1,-1,-1,-1

270,Allied Technical Sales,"ATS is the industry leader in using technology to revolutionize engineering and design processes. We create tools to help engineers and architects to integrate complex systems quickly and accurately for North America’s most exciting building projects.


ATS has a strong work ethic committed to delighting clients and providing them with exceptional service. Our thriving and motivated culture is the heartbeat of our organization. We hope you will become a part of it!


As our Senior Database Developer, you will:


Lead the DBA team in the planning, development, and maintenance of databases systems for all of the applications


DB migration between environments


Design, implement, maintain and automate and improve the data migration processes


Work with various teams for performance tuning and optimization, query optimization, index tuning, caching, buffer tuning, etc


Be strategic, self-motivated, creative, and highly communicative individual, capable of adapting quickly to a fast-paced and evolving environment


Manage MySQL in different environments and perform configuration & backup


Perform database health monitoring and diagnostics


Generate reports by combining data from multiple sources/engines (MySQL, MongoDB)


Automation for generating reports








As the Senior Database Developer, you must have:


At least 6 -8 years of experience as a MySQL DBA in a high volume, high impact transactional environment


At least 5 years of experience with complex schema in MySQL database in the following areas:


Query optimization


Schema design


Create processes to ensure data integrity and identify potential data errors


Team leadership/leadership experience


Document and update procedures and processes


Maintain and collaborate with deadlines and deliverables


Strong analytical, problem solving and decision-making skills


As the Senior Database Developer, the required skill set is:


Data integration with other CRM/ platforms like Cloud For Sales, SAP, etc


Custom XML Output generation


AWS RDS Cluster Management and Data Backup and Restore


Knowledge in MySQL, MongoDB &


Python & R scripting knowledge


PowerBI


Custom ETL Scripting





Your Life and Career at ATS:


ATS is dynamic, industrious, innovative and collaborative. We believe diverse and inclusive organizations create work environments that are inventive and open-minded, where people spark new ideas and explore alternatives. At ATS, we offer the following to make sure you have a rewarding and enjoyable experience:


TO APPLY: Please email hr@atsspec.com and include your resume and salary expectations. NO PHONE CALLS PLEASE.





Allied Technical Sales Inc. values diversity and is proud to be an Equal Opportunity Employer. We are committed to the principles and practices of employment equity and encourage all qualified individuals, including women, persons with disabilities, visible minorities, and Aboriginal Peoples to apply. Should you be individually selected to participate in an assessment or selection process, accommodations are available upon request in relation to the materials or processes to be used.





INDATS",-1,Enterprise Software & Network Solutions,Toronto,Senior Database Developer,3,$1 to $5 million (USD),Information Technology,51 to 200 Employees,1969

271,IQVIA,"Requirements:


• Bachelor’s or Master’s degree or equivalent in Statistics, Mathematics, Operational Research or related field with a strong focus on quantitative analysis, including an acceptable number of courses in statistical methods and theory, with a minimum of two (2) years of relevant experience with large databases and systems


• Technical knowledge/skills include: multivariate analysis, regression analysis, forecasting, probability and survey sampling


• Knowledge of SAS programming language on multiple environments (PC environment required, UNIX/mainframe an asset).


• Knowledge of SQL is also required


• Additional Knowledge of Python (or R) and big data tools such as Cloudera, Spark and Hadoop (an asset - preferred)


• Understanding and experience of classical machine learning and deep learning methods (an asset)


• Proven ability to carry out complex level analyses and information gathering to resolve problems on non-routine matters


• Proven ability to program statistical methodologies according to specifications, with emphasis on quality control, testing, and operational efficiencies




