,Company,Description,Glassdoor Salary Estimate,Industry,Location,Position,Rating,Revenue,Sector,Size,Type,Year Founded



Bethesda Game Studios is looking for talented and self-driven Data Analyst with strong analytical skills to join the team that is pushing the bleeding-edge AAA game development for mobile platforms. The Analyst must have knowledge and experience in data exploration and analysis to create standard and ad-hoc reports and dashboards, as well as being able to determine trends that result in actionable insights. With a deep understanding of advanced statistical methods, you want to be part of a new challenge.



Responsibilities:



Produire régulièrement des rapports sur les métriques clés dans le jeu;



Concevoir, développer et maintenir des rapports, des visualisations et des tableaux de bord des KPI et des métriques pour le personnel interne et les dirigeants;



Identifier et développer de nouvelles mesures pour aider à déterminer ce qui est amusant ou non dans le jeu, identifier les déséquilibres du jeu, identifier les stratégies optimales de monétisation, etc. sur une base régulière;



Analyser les données pour mieux comprendre, modéliser, prédire, segmenter et monétiser les joueurs de Bethesda;



Créez des modèles pour prévoir les métriques clés et optimiser la monétisation du jeu;



Exploiter et explorer des ensembles de données multidimensionnelles;



Collaborer avec les intervenants et les équipes départementales pour obtenir et documenter les besoins en matière de rapports et d'analyses qui peuvent les aider;



Travailler avec les programmeurs et les concepteurs de jeux pour s'assurer que le suivi de l'implémentation dans le jeu répondra aux exigences;



Agir à titre d'expert en la matière et de ressource pour accéder aux données et les analyser;



Aider à définir et valider les métriques dans le jeu;



Rédiger des requêtes SQL ainsi que des scripts complexes en Python afin d’extraire et d’analyser des ensembles de données massives, complexes et multidimensionnels avec des outils de modélisation statistique et de visualisation (Matplotlib, Seaborn, Tableau).



Production of regular reports on key in-game metrics;



Design, develop, and maintain reports, visualizations and dashboards of KPIs and metrics to internal staff and executives;



Identify and develop new metrics to help determine what is fun/not fun in the game, identify game imbalances, identify optimal strategies for monetization, etc. on a recurring basis;



Analyze data to further understand, model, predict, segment, and monetize Bethesda’s players;



Create models to forecast key metrics and optimize the monetization of the game;



Mine and explore multi-dimensional datasets;



Partner with stakeholders and departmental teams to elicit and document reporting and analytics requirements that can help them;



Work with game programmers and game designers to ensure tracking implementation in the game will support requirements;



Serve as a subject matter expert and resource for accessing and analyzing data;



Write complex set of SQL queries and Python scripts in order to extract and analyze big, multi-dimensional datasets with statistical modelling and visualization tools (Matplotlib, Seaborn, Tableau).



Qualifications:



Passion pour les jeux vidéo;



Minimum de 2 à 4 ans d'expérience dans un poste similaire à développer des rapports, des visualisations et des tableaux de bord en utilisant Tableau Desktop ou similaire;



Expérience de l'analyse quantitative, de la modélisation statistique et de la statistique appliquée, avec des recommandations à l'intention des intervenants - idéalement dans l'industrie du jeu vidéo;



Expérience avec l'extraction de données, la manipulation et wrangling;



Excellentes compétences SQL avec la connaissance des fonctions statistiques, d'agrégation et de windowing;



Solides connaissances sur Excel et/ou d’un progiciel statistique;



Connaissance de Python ou d'autres langages de programmation;



Connaissance approfondie de la conception logique des bases de données, des bases de données relationnelles et des principes de l'entrepôt de données;



Très bonnes habiletés en communication et en travail d’équipe.







Passion for video games;



Minimum 2-4 years of experience on a similar role developing reports, visualizations, and dashboards using Tableau Desktop or similar;



Experience in performing quantitative analysis, statistical modelling and applied statistics, providing recommendations for stakeholders – ideally in the video game industry;



Experience with data extraction, manipulation, and wrangling;



Excellent SQL skills with the knowledge of statistical, aggregate, and windowing functions;



Strong knowledge of Excel and/or statistical packages;



Knowledge of Python or other programming languages;



Strong knowledge of logical database design, relational databases, and data warehouse principles;



Strong communication and teamwork skills.



Preferred Skills:



Baccalauréat en informatique, en mathématiques, en statistique, en économie d'entreprise, en génie ou en BI avec une expérience supplémentaire appropriée;



Expérience dans l'industrie du jeu vidéo serait un grand plus;



Bonne compréhension des systèmes de jeu gratuit et de l'économie de jeu;



Expérience générale en programmation serait un atout;



Expérience précédente de travail avec Apache Spark et Spark SQL;



Expérience précédente de travail dans un environnement AWS, y compris l'expérience de l'utilisation de Redshift;



Expérience précédente avec les modèles prédictifs / Machine learning.







BS degree in Computer Science, Math, Statistics, Business Economics, Engineering, or BI with appropriate additional experience;



Experience in the video game industry would be a big plus;



Good understanding of free-to-play systems and economy-in-game;



General programming experience would be an asset;



Prior experience working with Apache Spark and Spark SQL;



Prior experience working in an AWS environment preferred including experience using Redshift;



Prior experience with predictive models / Machine learning.



Applicant Privacy Notice:



Applicant Privacy Notice",,Video Games,Montreal,Spécialiste en Analyse des données / Data Analyst,3.8,Unknown / Non-Applicable,Media,201 to 500 Employees,Company - Private,1999

315,PLB International inc,"At PLB, the Data Analyst and Demand Planning, reporting to the Sales department, is responsible for developing a sales forecast by product for a horizon of 13 continuous periods based on product families and market trends. He also supports Marketing team as well as Logistics so that customer and market trends are understood and applied, sales forecasts are accurate, performance is measured by KPIs and post-mortem, while ensuring fluid communication between services impacted by forecasts, all the while taking into account operational constraints.



Specifically, he will be responsible for:



PLANNING THE DEMAND



Responsible for the demand side of the S&OP process;



Follow up with sales managers to obtain a sales forecast, as well as marketing for new products or promotions;



Establish sales forecasts, ensure follow-ups and keep the database up to date.



CARRY OUT MONITORING AND PRODUCE REPORTS



Create specific ad hoc reports to highlight current sales performance and communicate results;



Communicate anticipated activities to production planning, procurement, distribution, customer service;



Question and inform the stakeholders concerned about the results obtained;



Issue and monitor performance indicators.



PARTICIPATE IN SALES & OPERATIONS PLANNING (S&OP) PROCESS



Establish the definition, maintenance and use of efficient analysis tools;



Collect historical data and prepare necessary documents to facilitate S&OP meetings;



Support the execution of the demand planning process;



Track sales trends, budgets vs. forecasts vs. current orders, and KPIs



What are we looking for in our future co-worker?



Action-oriented and the internal and external customer;



Self-control, be able to clearly define one's priorities;



Great interpersonal communication skills, know how to negotiate, master problem solving;



Result-oriented and demonstrate autonomy.



SKILLS NECESSARY FOR THE POSITION



Bachelor's degree in administration, option management of operations and logistics, mathematics, statistics, commerce or related field;



3-5 years of experience in demand planning, data and analytics (consumer products industry, food industry is considered an asset)



Advanced knowledge of statistical forecasting methods;



Good knowledge of the supply chain and logistics;



Proficiency in oral / written communication in French and English;



Proficiency in Excel (advanced), Access (advanced), Word, Outlook;



Knowledge of an APS and ERP.



Pourquoi voudrais-tu venir travailler chez PLB International?



PLB est une entreprise manufacturière familiale québécoise établie sur la Rive-Sud de Montréal à Boucherville depuis plus de 50 ans et qui compte maintenant à son actif environ 115 employés. On élabore, conçoit et fabrique de la nourriture pour les chiens et les chats (1st Choice, Pronature, Lily&Jax). Nous sommes particulièrement fiers de travailler avec des gens d’ici, dont l’expertise, le savoir-faire et le leadership ont permis de créer des produits de qualité supérieure reconnus dans plus de 35 pays!



Tu aimerais travailler dans une entreprise innovante, dynamique dans ses pratiques et où le bien-être de ses employés est une priorité? Tu aimerais te retrouver dans un milieu où l’ambiance agréable favorise les échanges et le travail d’équipe? Tu aimerais trouver ta place et évoluer de manière positive sur les plans personnels et professionnels? La famille PLB s’agrandit et on a besoin de toi. Joins-toi à nous!



Tâches & Responsabilités :



Chez PLB, l'analyste de données et planification de la demande, relevant de la direction des Ventes, est responsable d'élaborer une prévision des ventes par produit pour un horizon de 13 périodes continuelles basé sur les familles de produits et les tendances du marché.



Il supporte également l'équipe des ventes/marketing ainsi que la logistique de manière afin que les tendances des clients et du marché soient comprises et appliquées, que les prévisions des ventes soient précises, que la performance soit mesurée par les KPI et les post-mortem, tout en assurant une communication fluide entre les services ayant un impact sur les prévisions et que les contraintes opérationnelles sont prises en compte.



Plus spécifiquement, le titulaire du poste aura comme responsabilités de:



PLANIFIER LA DEMANDE



Être responsable du volet de la demande du processus S&OP;



Faire un suivi avec les directeurs de ventes afin d’obtenir une prévision de ventes, ainsi que le marketing pour les nouveaux produits ou promotions;



Établir des prévisions de ventes, assurer les suivis et maintenir à jour la base de données.



EFFECTUER LES SUIVIS ET PRODUIRE DES RAPPORTS



Créer des rapports ad hoc spécifiques pour mettre en évidence les performances actuelles de vente et communiquer les résultats;



Communiquer les activités anticipées à la planification de la production, l’approvisionnement, la distribution, le service à la clientèle;



Questionner et informer les intervenants concernés sur les résultats obtenus;



Émettre et faire le suivi des indicateurs de performance.



PARTICIPER AU PROCESSUS DE SALES & OPERATIONS PLANNING (S&OP)



Mettre en place la définition, le maintien et l’utilisation d'outils d’analyse performants;



Recueillir des données historiques et préparer des documents nécessaires pour faciliter son animation des réunions de S&OP;



Soutenir l'exécution du processus de planification de la demande;



Effectuer les suivis de la tendance de ventes, des budgets vs prévisions vs les commandes actuelles, et des indicateurs de performance.



Que recherchons-nous chez notre futur collègue de travail ?



Être orienté vers l’action et le client interne et externe;



Avoir la maîtrise de soi, être capable de bien définir ses priorités;



Être doué pour la communication interpersonnelle, savoir négocier, maîtriser la résolution de problèmes;



Être orienté vers les résultats et faire preuve d'autonomie.



COMPÉTENCES NÉCESSAIRES POUR LE POSTE



Baccalauréat en administration, option gestion des opérations et de la logistique, en mathématiques, statistiques, commerce ou domaine connexe;



3-5 ans d’expérience dans la planification de la demande, des données et de l’analyse (industrie des produits de consommation, agroalimentaire un atout).



Connaissances avancées des méthodes statistiques de prévisions;



Bonne connaissance de la chaîne d'approvisionnement et logistique;



Maîtrise de la communication orale/écrite en français et en anglais;



Maîtrise d'Excel (avancé), Access (avancé), Word, Outlook;



Connaissance de l'utilisation d’un APS et ERP.



Tu aimerais travailler chez PLB, mais n’es pas certain de posséder toutes ces compétences? Si tu aimes apprendre de nouvelles choses et que tu n’as pas peur des défis, n’hésite pas à poser ta candidature! Chez PLB, on supporte nos employés dans l’acquisition des compétences nécessaires aux différents postes et on offre de nombreuses formations rémunérées. On veut que les membres de notre équipe soient compétents, polyvalents et heureux de travailler chez nous. Viens nous rencontrer!



Type d'emploi : Temps Plein, Permanent



Avantages :



Casual dress



Company events



Dental care



Disability insurance



Employee assistance program



Flexible schedule



Life insurance



On-site parking



Paid time off



Profit sharing



RRSP match



Store discount



Vision care



Work from home



Horaire :



Monday to Friday



Langue:



Français (Requis)



Télétravail:



Oui, toujours",,Consumer Products Manufacturing,Boucherville,"Demand Planner, Data Analyst",3.9,$25 to $50 million (USD),Manufacturing,51 to 200 Employees,Company - Private,1969

316,OMERS,"Why join us?











Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor? If so, we would love to tell you our story.



At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe. Our culture is truly one of a kind. We get stuff done, and have fun doing it! We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets.



As a key member of the Global Investments IT team, the role of Senior Data Analyst is instrumental in enhancing data & analytics capabilities by championing industry best practices and delivering high quality datasets, reports, and training to enhance business decision making.



You will develop Power BI datasets and reports to support OMERS investment entities, deliver training workshops to promote data culture, and maintain a healthy business relationship to assist in meeting business demands. You will also support and collaborate with data engineers, data scientists and investment professionals and engage in technical support, research and knowledge sharing through the implementation lifecycle of projects and solutions.



This role is accountable for ensuring that all projects, solutions and platforms align with and support overall enterprise Data & Technology strategy & goals, and adhere to company policies, industry standards and best practices.







When you work for us, you could have access to a pension for life with the OMERS defined benefit plan. Click the badge to see if you are eligible and to find out more.







As a member of this team, you will be responsible for:











• Leading workshops with stakeholders to gather requirements and develop low/high fidelity wireframes



• Developing and monitoring Power BI Premium Dataflows to gather, transform and democratize structured and unstructured data assets



• Developing Power BI datasets by applying best-practice semantic modeling techniques



• Creating visually stunning reports that clearly communicate an effective story



• Operating in an Agile development environment



• Communicating effectively with other analysts in the same team, with other teams and with various other stakeholders such as product managers, data engineers and members of senior management



• Participating in solution build, delivery, support and troubleshooting



• Managing change and communicate impacts to stakeholders and fellow team members



• Exhibiting ability to work on multiple projects simultaneously and ensure on-time delivery



• Identifying, defining and implementing opportunities for enhancing existing processes







To succeed in this role, you have:











• Experience. 3+ years solving complex technical projects as a full-stack (M & DAX) Power BI developer is required



• Industry Knowledge. Ability to quickly propose solutions by recalling the latest best practices learned from MVP & Product Team articles, MSFT documentation, whitepapers, and other community publications is required



• Training. Excited to support new Power BI users by running various internal community initiatives such as presentations, hands-on workshops, or troubleshooting end-user obstacles.



• Relationship Building. Proven track record of building deep technical relationships. Experience in aligning expectations across various stakeholders.



• Problem-Solving. Able to trace data lineage and resolve technical issues with minimal supervision.



• Teamwork. Motivated and keen to work in a collaborative environment with a focus on team success over and above individual success.



• A depth of Power BI experience wrangling complex data using M functions and developing sophisticated semantic logic using DAX expressions is required



• A breadth of technical experience and knowledge in the MSFT data and analytics ecosystem, with Subject Matter Expertise in two or more of the following items is required:



Power BI Service administration



Tabular Editor



Information Design theory



SSAS Tabular



PowerApps



Flow or Logic Apps



SQL Server



Azure Data Factory v2 or SSIS



AzureML



Azure Databricks



• A Bachelor’s Degree in an appropriate field of study or equivalent work experience is required



• Microsoft certifications",,Venture Capital & Private Equity,Toronto,"Senior Data Analyst, Global Investments",3.3,Unknown / Non-Applicable,Finance,1001 to 5000 Employees,Company - Private,1962

317,Bonsai,"Bonsai’s mission is to help people find and buy the products they want, as soon as they realize they want them. We began in 2016 as a streetwear style and news app. Now we’re leading the market shift to content-driven commerce. We are helping publishers launch e-commerce as a new line of business. We already do this for over 200M+ monthly unique visitors on some of North America’s leading publishers, including BuzzFeed and Complex. We’ve been featured in the Wall Street Journal and Business Insider for leading the charge in a new wave of native commerce, but the opportunity is still largely untapped.







Our technology allows users to transact natively while browsing content. We make the journey from seeing a product to buying it possible in two taps. Our vision is to make this possible everywhere you discover products. For publishers, we provide a powerful revenue alternative to ads that also improves the user experience. For merchants, Bonsai allows them to capture customers while they browse content, right when purchasing intent is being formed.







At Bonsai, we pride ourselves on the transparent and performance-driven environment we’ve created for our team. We value making data driven-decisions and taking calculated risks that add value to our users.







We are looking for a Data Analyst to become an integral part of our team and our broader data community. You’ll be the expert regarding analytics/trends for our projects.







The role (in a nutshell):



Respond to data and product-related inquiries in real-time to support business and technical teams



Provide data solutions, tools, and capabilities to enable self-service frameworks for data consumers



Present analyzed data in a way that is actionable and facilitates planning.



Work cross-functionally with other teams from Product Management to developers to deliver data requirements based on technical needs.



Become intimately familiar with our analytics platforms.



Develop an in-depth understanding of our business KPIs and project goals.



Support the creation and implementation of new reporting, tools, and processes.



Provide analytics insights



Your background:



Expert knowledge and experience with SQL and Google Analytics



Possess a good understanding of MongoDB.



Experience with business reporting tools.



Able to act independently, and capable of switching rapidly between different projects/tasks in a fast-paced environment.



Great communication skills - you can speak with concision and change your communication style based on your audience.



What to expect:



Review - you’ll hear from us regardless



Intro Call - a quick call with the Head of People to discuss the role and learn who you are!



An interview with some of the team - 45 minutes to go over your background, the role and Bonsai. Also, an excellent time for you to ask any questions you have.



Take-Home Assessment - a realistic problem to solve.



Virtual Interview - a 2-hour interview to meet the team, and your chance to interview us.



Offer - Ideally, this is the part where we make the offer, you accept, and we all celebrate!



At Bonsai, we are committed to building and fostering a diverse and inclusive environment where our employees feel valued, heard, and supported. We believe that a commitment to diversity, inclusion and belonging enables us to do the best work of our lives - building the future of content and commerce! We strongly encourage applications from candidates of all backgrounds, experience, and perspectives regardless of race, gender, sexual orientation, marital status, age, citizenship, disability, and national origin.







Bonsai welcomes and encourages applications from people with disabilities. Accommodations are available upon request for candidates taking part in all aspects of the hiring and selection process. If you require accommodations or have any questions, please email us at accessibility@shopbonsai.ca.",,Internet,Toronto,Senior Data Analyst,4.1,Unknown / Non-Applicable,Information Technology,1 to 50 Employees,Company - Private,2016

318,Square Enix Montreal,"// ENGLISH VERSION WILL FOLLOW ...//







Poste: Analyste de données



Relève de: BI Manager







Fonctions:



Déterminer les besoins de l’équipe de jeu au niveau analytique;



Définir les spécifications de la collecte d’information;



Apporter du support aux programmeurs lors de l’implémentation du système de collecte de données;



Participer au processus de vérification de qualité des données en collaboration avec l’équipe QA;



Créer des modèles analytiques et tableaux de bord personnalisés;



Générer des rapports d’analyse personnalisés;



Présenter, sous forme de story telling, les insights générés au travers des analyses, à tout type d’audience;



Fournir des recommandations opérationnelles en termes de design et de monétisation;



Participer à l’amélioration continue des processus décisionnels au sein de l’équipe de production;







Expérience et qualifications:



3 ans d’expérience pertinente ou équivalente dans le domaine du jeu mobile ou connexe.



Expérience de production d’une application mobile est un atout majeur.



Expérience avancée avec des plateformes analytiques tel que deltaDNA ou Amplitude.



Expérience pertinente avec des outils de reporting tel que Looker, PowerBI ou Tableau.



Compétent au niveau statistique et data mining.



Capacité de générer des connaissances poussées à partir de jeu de données multidimensionnel.



Bonne compréhension des concepts de Game Design, Economic Game Design et monétisation pour un jeu mobile.



Expérience en programmation SQL : un atout important.



Connaître d’autres langages de programmation tels que R et Python sont des plus.







Qualités interpersonnelles:



Grandes habiletés pour expliquer des phénomènes complexes et interreliés de façon claire et concise à tout type d’audience (anglais et français).



Axé sur l’impact opérationnel, débrouillard et capable de prendre de l’initiative.



Excellentes compétences relationnelles, capable de collaborer avec différents intervenants qui ont des objectifs différents et potentiellement contradictoires.



Faire preuve de pragmatisme et de rigueur dans les approches méthodologiques.



Être capable de s’adapter dans un environnement où les priorités peuvent changer régulièrement.



Être capable de faire preuve d’humilité et d’aider à faire progresser l’équipe







Motivation et intérêts:



De l’ambition et de la passion pour les jeux vidéo sont essentiels!



// English Version //







Title: Data Analyst



Reports to: BI Manager







Duties:



Determine the development team’s needs at an analytical level;



Define the specializations of the information collected;



Provide support to the developer when implementing the data collection system;



Participate in the verification process of the data quality in collaboration with the QA team;



Create analytical models and personalized dashboards;



Generate personalized analytical reports;



Present in a story telling format the insights generated through analyzes, to all types of audiences;



Provide operational recommendations in terms of design and monetization;



Participate in the continuous improvement of decision-making processes within the production team.







Experience and qualifications:



3 years of pertinent experience or equivalent in the mobile game field or related;



Production experience of a mobile application is a major asset;



Advanced experience with analytical platforms such as deltaDNA or Amplitude;



Pertinent experience with reporting tools such as Looker, PowerBI or Tableau;



Competent at a statistical and data mining level;



Capacity to generate advanced knowledge from multidimensional game data;



Good understanding of Game design concepts, Economic Game design and monetization for a mobile game;



Experience in SQL programming: an important asset;



Knowledge of other programming languages such as R and Python are a plus.







Interpersonal qualities:



Strong ability to explain complex and interrelate phenomena in a clear and concise manner to any type of audience (English and French);



Focused on the operational impact, resourceful and able to take initiative;



Excellent interpersonal skills, able to collaborate with different stakeholders that have different objectives and that are potentially contradictory;



Demonstrate pragmatism and rigor in methodological approaches;



Able to adapt in an environment where priorities can regularly change;



Able to be humble and help the team to move forward.







Motivation and interests:



Passion and ambition for video games are essential!",,Video Games,Montreal,Analyste de données / Data Analyst,3.5,Unknown / Non-Applicable,Media,1001 to 5000 Employees,Company - Public,1975

319,Nuagem inc.,"SOMMAIRE :







L'analyste Fonctionnel SAP Données maîtres est responsable de coordonner une équipe danalystes fonctionnels Données maîtres dans le but de fournir un service continu aux opérations, daider la réalisation des demandes de services de la conception la mise en œuvre pour les solutions et systèmes sur lesquels reposent les processus daffaires liés aux données maîtres. Le titulaire du poste établi un pont entre linformatique et le secteur daffaires visé par le centre de compétences duquel il relève. Il se spécialise en analyse des processus daffaires et en solutions informatiques. Son travail consiste analyser les besoins daffaires du secteur visé et de coordonner la résolution avec lensemble des analystes fonctionnels Données maîtres travaillant dans le centre de compétences. Le coordonnateur mettra en œuvre, de concert avec léquipe, lélaboration et la réalisation dune solution informatique répondant aux besoins daffaires. Une fois la solution implantée, il veille ce que celle-ci réponde aux besoins du secteur affaires.







RESPONSABILITÉS SPÉCIFIQUES :







- Assurer un rôle de planification et coordination des demandes de service / support opérationnel sous la responsabilité de son centre de compétence







- Sassurer de la faisabilité technique des solutions mises de lavant par son équipe, en plus den évaluer les impacts sur les processus et les utilisateurs (mesure de performance, respect des niveaux de service)







- Être de concert avec léquipe de Gestion des relâches, coordonne la priorisation des demandes de service / support opérationnel avec la ligne daffaires et léquipe des analystes lors de comités hebdomadaires







- Planifier la réalisation des demandes de son secteur







- Développer une relation privilégiée avec les partenaires daffaires relatifs la gestion des Données maîtres au sein de lentreprise, et traduit leurs besoins en requis techniques pour son centre de compétences.







- Animer des comités opérationnels avec les analystes fonctionnels afin danalyser la demande, et de répartir le travail afin de rencontrer les niveaux de service de son centre de compétences.







- Coordonner et participer la résolution des problèmes / incidents et de sassurer dune documentation adéquate des causes et solutions envisagées.







- Anticiper les enjeux et les risques en mettant en place les plans dactions associés pour sécuriser les mises en production.







- Contribuer au support opérationnel de production des services sous la responsabilité de son centre de compétence.







- Conseiller et assiste les utilisateurs dans une perspective damélioration et dinnovation.







- Traduire les exigences daffaires, opérationnelles et fonctionnelles aux équipes de développement.







- Participer aux activités de contrôle de la qualité des processus de son centre de compétences.







CRITÈRES D'ADMISSIBILITÉ :







- BAC en informatique ou l'équivalent







- Au moins 7 ans dexpérience en projets dimplantation et dexpérience opérationnelle et configuration de données maîtres







- Connaissance des principaux points dintégration des données maîtres avec les autres modules SAP







- A complété au moins deux projets denvergure dans SAP au niveau des données maîtres, et supporté le cycle opérationnel complet découlant de la mise en production de ces projets







- Capacite gérer plusieurs tâches, livrables et projets en même temps







- Bilinguisme essentiel (oral et écrit)







- Capacité analyser beaucoup d'informations et en présenter une synthèse claire et concise







- Peut nécessiter des déplacements l'extérieur entre les bureaux de Metro (Laval, Montréal, Varennes, Ontario).







À propos de Nuagem:







Nuagem est une entreprise dacquisition de talents en Amérique du Nord spécialisée dans les TI. Nous avons rapidement progressé sur des nouveaux marchés avec une équipe de recruteurs diversifiée prêts aider les clients explorer de nouvelles opportunités et attirer des talents.







Nous tirons partie des compétences de notre réseau pour offrir la meilleure expérience pour les clients en leur fournissant les meilleurs ressources.







Prière de faire parvenir votre CV jhuot1@nuagem.ca







Rejoignez Nuagem aujourdhui et trouvez votre tribu !!!!







https://www.nuagem.ca







Requirements











Benefits



Informations contractuelles",,,Boucherville,SAP master Data Analyst,,Less than $1 million (USD),,1 to 50 Employees,Company - Private,

320,Quebec en Mexico,"Job description



With its 200 passionate employees, Croesus, FINTECH leader in Canada, is a master in the art of software development with regard to portfolio management in the financial and banking sector. We offer a very friendly working environment thanks to welcoming colleagues but also with the help of a host of little extras that make Croesus a remarkable employer. Breakfast offered every morning, flexible hours, BBQ dinner, gym, massage therapy, group RRSP, in addition to a host of team activities.



Position



We are currently looking for an Analyst to join our team. Reporting to the Customer Service Center team leader, he is responsible for responding to questions and requests received in order to ensure customer satisfaction and get them to maximize product use.



Responsibilities:



The success of using the software depends on your interventions, mainly by email and telephone



You analyze, prioritize, investigate and solve problems related to the use of portfolio management software.



You follow up closely with new customers during acceptance tests



You participate in project committees for new clients and see to the integration of customer service into new projects



You collaborate with the other advisors of the team to see to the sharing of information



You recommend all procedures necessary to improve services



Requirements



Bac Business Administration



Experience in a similar field



Minimum of one year of experience in a training position or in a support center



Customer service experience



Analytical and problem solving skills



Professional level of spoken and written French and English



Ease of working with different software and IT tools



Sense of organization and priorities



Knowledge of financial markets and securities trading (CCVM) is an asset



Other information



Au plaisir de vous en parler davantage ;)



Required skills



training position 1 to 2 years



financial markets 1 to 2 years



securities trading 1 to 2 years



support center 1 to 2 years



-







Description de l'emploi



Croesus, Leader FINTECH au Canada, et ses 200 employés passionnés, est passé maître dans l'art du développement logiciel en ce qui a trait à la gestion de portefeuille du secteur financier et bancaire. Nous offrons un environnement de travail très convivial grâce à des collègues accueillants mais aussi à l’aide d’une panoplie de petits « plus » qui font de Croesus un employeur remarquable. Déjeuner offert tout les matins, horaires flexibles, dîner BBQ, salle de gym, massothérapie, REER collectif, en plus d’une foule d’activités d’équipe.



Poste



Nous recherchons actuellement un/une analyste, application et données pour se joindre à notre équipe. Relevant du gestionnaire de produits technique du centre de service aux clients, il est responsable de répondre aux questions et aux demandes reçues dans le but d’assurer la satisfaction des utilisateurs et les amener à maximiser l’utilisation du produit.



Responsabilités :



Le succès de l’utilisation du logiciel passe par vos interventions, principalement par courriels et téléphone



Vous analysez, priorisez, investiguez et résolvez les problèmes reliés à l’utilisation du logiciel de gestion de portefeuille.



Vous assurez un suivi étroit auprès des nouveaux clients lors des tests d’acceptation



Vous participez aux comités de projets pour les nouveaux clients et vous voyez à l’intégration du service à la clientèle au sein des nouveaux projets



Vous collaborez avec les autres analystes de l’équipe pour voir au partage de l’information



Vous recommandez toutes procédures nécessaires à l’amélioration des services



Exigences



Bac Administration des affaires



Expérience dans un domaine similaire



Minimum d’une année d’expérience dans un poste de formation ou dans un centre d’assistance



Expérience en service à la clientèle



Habiletés en analyse et résolution de problème



Niveau professionnel de français et d’anglais parlés et écrits



Facilité à travailler avec différents logiciels et outils informatiques



Sens de l’organisation et des priorités



La connaissance des marchés financiers et du commerce des valeurs mobilières (CCVM) est un atout



Autres informations



Au plaisir de vous en parler davantage ;)



Compétences requises



formateur 1 à 2 ans



Connaissance des marchés financiers 1 à 2 ans



valeurs mobilières 1 à 2 ans



service à la clientèle 1 à 2 ans",,,Quebec,Croesus - Data analyst,4,Less than $1 million (USD),,1 to 50 Employees,Government,

321,360 Energy Liability Management,"360 is a leader and innovator in oil and gas liability management. We have forged a unique path since inception in 2015 to build a business full of talented, amazing industry professionals. With a vision to Make Closure Simple for our clients and the energy industry, we always seek the best and brightest minds to help us on that path. We are a dynamic brand with a strong reputation for doing the right things and doing them well.



The Role: Intermediate Environmental Scientist - Field



We are recruiting for an Intermediate Environmental Scientist, based out of Calgary, who will focus on planning and execution of client field programs to meet asset retirement obligations.


